ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.292541609,2.292507577
16,33554432,536870912,2.190184558,2.190182689
32,16777216,536870912,2.186315254,2.186313678
64,8388608,536870912,2.104396755,2.104393775
128,4194304,536870912,2.048197964,2.048188571
256,2097152,536870912,2.021339676,2.021328733
512,1048576,536870912,2.088102018,2.088082855
1024,524288,536870912,2.085787715,2.085751634
2048,262144,536870912,2.128481153,2.128414987
4096,131072,536870912,2.134060458,2.133926650
8192,65536,536870912,2.139941916,2.139681507
16384,32768,536870912,2.065631874,2.065097363
32768,16384,536870912,2.065536262,2.064407001
65536,8192,536870912,2.071287856,2.069015421
131072,4096,536870912,2.098387087,2.093789292
262144,2048,536870912,2.154263083,2.145026942
524288,1024,536870912,2.215628756,2.198085043
1048576,512,536870912,2.282975226,2.248842599
2097152,256,536870912,2.312542710,2.244711004
4194304,128,536870912,2.375616636,2.241976115
8388608,64,536870912,2.509215911,2.238607072
16777216,32,536870912,2.757063004,2.224129496
33554432,16,536870912,3.268240971,2.215894603
67108864,8,536870912,4.382563238,2.223466918
134217728,4,536870912,6.458152953,2.231150048
268435456,2,536870912,10.720496538,2.299035445
536870912,1,536870912,18.861226970,2.248165821
