ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.896423491,1.896386482
16,33554432,536870912,1.749759685,1.749758921
32,16777216,536870912,1.799337979,1.799336883
64,8388608,536870912,1.771078407,1.771076548
128,4194304,536870912,1.710224705,1.710219876
256,2097152,536870912,1.664929517,1.664920588
512,1048576,536870912,1.629986486,1.629971111
1024,524288,536870912,1.630886563,1.630855580
2048,262144,536870912,1.629471912,1.629411215
4096,131072,536870912,1.614102401,1.613979136
8192,65536,536870912,1.630852101,1.630603378
16384,32768,536870912,1.640396881,1.639874953
32768,16384,536870912,1.640791459,1.639640895
65536,8192,536870912,1.616170355,1.613957245
131072,4096,536870912,1.617385167,1.612941747
262144,2048,536870912,1.640212008,1.631390806
524288,1024,536870912,1.647206052,1.630650802
1048576,512,536870912,1.718758249,1.686826118
2097152,256,536870912,1.797862031,1.734102930
4194304,128,536870912,1.855781156,1.727650502
8388608,64,536870912,1.981715264,1.727776267
16777216,32,536870912,2.230715365,1.720491348
33554432,16,536870912,2.735525497,1.721485838
67108864,8,536870912,3.748655454,1.720053186
134217728,4,536870912,5.765444751,1.719267327
268435456,2,536870912,9.859764565,1.770257547
536870912,1,536870912,17.977979975,1.774003714
