ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.680892206,1.680857948
16,33554432,536870912,1.907880688,1.907879411
32,16777216,536870912,1.723328022,1.723326461
64,8388608,536870912,1.646195755,1.646193154
128,4194304,536870912,1.584070110,1.584063729
256,2097152,536870912,1.550931202,1.550922107
512,1048576,536870912,1.563251335,1.563234318
1024,524288,536870912,1.538453514,1.538419902
2048,262144,536870912,1.528306425,1.528242919
4096,131072,536870912,1.532162454,1.532036399
8192,65536,536870912,1.533015146,1.532757400
16384,32768,536870912,1.537626638,1.537095253
32768,16384,536870912,1.539502209,1.538376273
65536,8192,536870912,1.539887498,1.537658201
131072,4096,536870912,1.540769882,1.536376208
262144,2048,536870912,1.547708515,1.538915853
524288,1024,536870912,1.554581891,1.537980293
1048576,512,536870912,1.577791255,1.545779599
2097152,256,536870912,1.687394182,1.622949606
4194304,128,536870912,1.760345206,1.631617252
8388608,64,536870912,1.887041664,1.630840111
16777216,32,536870912,2.140295299,1.629127597
33554432,16,536870912,2.656997123,1.632702234
67108864,8,536870912,3.664165983,1.630095176
134217728,4,536870912,5.699485798,1.630352244
268435456,2,536870912,9.899960726,1.655826522
536870912,1,536870912,18.086389153,1.632531064
