ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.974935281,1.974897191
16,33554432,536870912,1.839497503,1.839496313
32,16777216,536870912,1.960419990,1.960418567
64,8388608,536870912,1.901580995,1.901578502
128,4194304,536870912,1.811067430,1.811061274
256,2097152,536870912,1.737529595,1.737518941
512,1048576,536870912,1.714093158,1.714075193
1024,524288,536870912,1.652203880,1.652169756
2048,262144,536870912,1.675068657,1.675005225
4096,131072,536870912,1.669101274,1.668974503
8192,65536,536870912,1.675086866,1.674831306
16384,32768,536870912,1.668649882,1.668109439
32768,16384,536870912,1.665745109,1.664625442
65536,8192,536870912,1.669863789,1.667615970
131072,4096,536870912,1.662249445,1.657813794
262144,2048,536870912,1.686486851,1.677659107
524288,1024,536870912,1.683660808,1.667292921
1048576,512,536870912,1.755328071,1.723676458
2097152,256,536870912,1.835058329,1.770707944
4194304,128,536870912,1.905502544,1.777629025
8388608,64,536870912,2.024003381,1.767291093
16777216,32,536870912,2.273287859,1.765045012
33554432,16,536870912,2.798645081,1.783497549
67108864,8,536870912,3.801213117,1.768333437
134217728,4,536870912,5.854406043,1.767521648
268435456,2,536870912,10.021578114,1.825147702
536870912,1,536870912,18.184235907,1.819267387
